trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
105,False,"{'a': 0.1, 'e': 0.47499999999999953}",20,0,-18.33568298975616,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
106,False,"{'a': 0.1, 'e': 0.46999999999999953}",25,0,-27.493629426511042,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
107,False,"{'a': 0.1, 'e': 0.4649999999999995}",20,5,2.3171203313241824,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
108,False,"{'a': 0.1, 'e': 0.4599999999999995}",30,0,-38.37281622433613,"{0: 22, 1: 4, 2: 3, 3: 1, 4: 0}",0
109,False,"{'a': 0.1, 'e': 0.4549999999999995}",20,0,-37.20401710658081,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 1}",0
110,False,"{'a': 0.1, 'e': 0.4499999999999995}",20,6,-48.77360041915611,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 1}",1
111,False,"{'a': 0.1, 'e': 0.4449999999999995}",20,0,-64.86600697444933,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 1}",0
112,False,"{'a': 0.1, 'e': 0.4399999999999995}",25,3,-16.559528949798235,"{0: 17, 1: 4, 2: 0, 3: 1, 4: 0}",1
113,False,"{'a': 0.1, 'e': 0.4349999999999995}",20,0,7.736084171160842,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
114,False,"{'a': 0.1, 'e': 0.4299999999999995}",20,0,-33.75153159809435,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
115,False,"{'a': 0.1, 'e': 0.4249999999999995}",20,0,-42.98393009204884,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
116,False,"{'a': 0.1, 'e': 0.4199999999999995}",30,3,-77.15029012023012,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 2}",1
117,False,"{'a': 0.1, 'e': 0.4149999999999995}",20,0,-14.489909155654924,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
118,False,"{'a': 0.1, 'e': 0.4099999999999995}",20,0,7.271695672709427,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
119,False,"{'a': 0.1, 'e': 0.40499999999999947}",20,6,-29.652303604198302,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
120,False,"{'a': 0.1, 'e': 0.39999999999999947}",25,14,-45.17731464778807,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
